House Name,House Price,House Location,House Info,House Link
Double story 2 Marla house for urgent sale,"7,800,000","Awan Town - Ali Block, Lahore•",222 Marla,https://www.olx.com.pk/item/double-story-2-marla-house-for-urgent-sale-iid-1100781247
10 MARLA HOUSE AVAILABLE FOR SALE,"39,000,000","Dream Gardens, Lahore•",6+7+10 Marla,https://www.olx.com.pk/item/10-marla-house-available-for-sale-iid-1099882936
7 Marla Brand New House For Sale In Sector M7A Lake City Raiwind Road Lahore,"37,000,000","Lake City, Lahore•",57+7 Marla,https://www.olx.com.pk/item/7-marla-brand-new-house-for-sale-in-sector-m7a-lake-city-raiwind-road-lahore-iid-1100584532
6.5 Marla Corner House For Sale Facing Park,"39,500,000","Allama Iqbal Town, Lahore•",556 Marla,https://www.olx.com.pk/item/65-marla-corner-house-for-sale-facing-park-iid-1100059658
7 Marla House For Sale in G13 Islamabad,"58,000,000","G-13, Islamabad•","561,800 SQFT",https://www.olx.com.pk/item/7-marla-house-for-sale-in-g13-islamabad-iid-1100046903
3 Marla Triple story House,"19,000,000","Allama Iqbal Town - Zeenat Block, Lahore•",333 Marla,https://www.olx.com.pk/item/beauty-full-house-for-small-two-family-iid-1095814691
Get An Attractive Prime Location House In Lahore Under Rs. 19500000,"19,500,000","Central Park - Block A1, Lahore•",345 Marla,https://www.olx.com.pk/item/get-an-attractive-prime-location-house-in-lahore-under-rs-19500000-iid-1100438464
Brand New 2 Kanal House Available In Model Town - Block A For sale,"350,000,000","Model Town - Block A, Lahore•",6+62 Kanal,https://www.olx.com.pk/item/brand-new-2-kanal-house-available-in-model-town-block-a-for-sale-iid-1100815435
40 Feet Road 5 Marla Brand New House For Sale In Park View City Lahore,"22,500,000","Park View City - Tulip Overseas, Lahore•",445 Marla,https://www.olx.com.pk/item/40-feet-road-5-marla-brand-new-house-for-sale-in-park-view-city-lahore-iid-1100855777
Luxury Single Story Villas in Falaknaz Dreams Malir,"9,000,000","Falaknaz Dreams, Karachi•",32120 SQYD,https://www.olx.com.pk/item/luxury-single-story-villas-in-falaknaz-dreams-malir-iid-1100577638
Excellent Ground plus One House in Burahni Town Malir,"11,000,000","Khokarapar, Karachi•",54100 SQYD,https://www.olx.com.pk/item/excellent-ground-plus-one-house-in-burahni-town-malir-iid-1100350695
Excellent Ground plus One House in Indus Mehran Malir,"17,000,000","Indus Mehran Society, Karachi•",6+5120 SQYD,https://www.olx.com.pk/item/excellent-ground-plus-one-house-in-indus-mehran-malir-iid-1100350468
3 Marla Beautifull House For Sale In Pak Arab Housing society,"10,500,000","Pak Arab Housing Society, Lahore•",333 Marla,https://www.olx.com.pk/item/3-marla-beautifull-house-for-sale-in-pak-arab-housing-society-iid-1100883850
Excellent Ground plus One House in Burhani Town,"8,500,000","Khokarapar, Karachi•",54100 SQYD,https://www.olx.com.pk/item/excellent-ground-plus-one-house-in-burhani-town-iid-1100085414
3 Marla Beautifull House For Sale Shadab Garden,"11,000,000","Shadab Garden, Lahore•",333 Marla,https://www.olx.com.pk/item/3-marla-beautifull-house-for-sale-shadab-garden-iid-1100047750
10 Marla House For Sale In Paragon City Lahore,"40,000,000","Paragon City, Lahore•",5610 Marla,https://www.olx.com.pk/item/10-marla-house-for-sale-in-paragon-city-lahore-iid-1100883772
4.5 Marla House For Sale In Paragon City Lahore,"17,000,000","Paragon City, Lahore•",344 Marla,https://www.olx.com.pk/item/45-marla-house-for-sale-in-paragon-city-lahore-iid-1100883769
Buffar zoon sector 15B 120 Gaz G+2 Rcc house,"18,800,000","Bufferzone - Sector 15-B, Karachi•",6+6120 SQYD,https://www.olx.com.pk/item/buffar-zoon-sector-15b-120-gaz-g2-rcc-house-iid-1100883766
8 Marla House For Sale In Paragon City Lahore,"24,500,000","Paragon City, Lahore•",448 Marla,https://www.olx.com.pk/item/8-marla-house-for-sale-in-paragon-city-lahore-iid-1100883760
